province_code,province_description,province_eng_name,district_code,district_description,district_eng_name
10,TP. Hà Nội,Ha Noi,1180,Q. Ba Đình,Ba Dinh
10,TP. Hà Nội,Ha Noi,1580,H. Phú Xuyên,Phu Xuyen
10,TP. Hà Nội,Ha Noi,1200,Q. Thanh Xuân,Thanh Xuan
10,TP. Hà Nội,Ha Noi,1120,Q. Hai Bà Trưng,Hai Ba Trung
10,TP. Hà Nội,Ha Noi,1250,Q. Long Biên,Long Bien
10,TP. Hà Nội,Ha Noi,1290,Q. Nam Từ Liêm,Nam Tu Liem
10,TP. Hà Nội,Ha Noi,1510,Q. Hà Đông,Ha Dong
10,TP. Hà Nội,Ha Noi,1360,H. Đông Anh,Dong Anh
10,TP. Hà Nội,Ha Noi,1340,H. Thanh Trì,Thanh Tri
10,TP. Hà Nội,Ha Noi,1547,H. Ba Vì,Ba Vi
10,TP. Hà Nội,Ha Noi,1536,H. Phúc Thọ,Phuc Tho
10,TP. Hà Nội,Ha Noi,1424,H. Đan Phượng,Dan Phuong
10,TP. Hà Nội,Ha Noi,1529,H. Hoài Đức,Hoai Duc
10,TP. Hà Nội,Ha Noi,1557,H. Quốc Oai,Quoc Oai
10,TP. Hà Nội,Ha Noi,1567,H. Thanh Oai,Thanh Oai
10,TP. Hà Nội,Ha Noi,1576,H. Mỹ Đức,My Duc
10,TP. Hà Nội,Ha Noi,1571,H. Ứng Hòa,Ung Hoa
10,TP. Hà Nội,Ha Noi,1100,Q. Hoàn Kiếm,Hoan Kiem
10,TP. Hà Nội,Ha Noi,1220,Q. Cầu Giấy,Cau Giay
10,TP. Hà Nội,Ha Noi,1150,Q. Đống Đa,Dong Da
10,TP. Hà Nội,Ha Noi,1270,Q. Hoàng Mai,Hoang Mai
10,TP. Hà Nội,Ha Noi,1430,Q. Bắc Từ Liêm,Bac Tu Liem
10,TP. Hà Nội,Ha Noi,1390,H. Sóc Sơn,Soc Son
10,TP. Hà Nội,Ha Noi,1310,H. Gia Lâm,Gia Lam
10,TP. Hà Nội,Ha Noi,1540,TX. Sơn Tây,Son Tay
10,TP. Hà Nội,Ha Noi,1420,H. Mê Linh,Me Linh
10,TP. Hà Nội,Ha Noi,1553,H. Thạch Thất,Thach That
10,TP. Hà Nội,Ha Noi,1561,H. Chương Mỹ,Chuong My
10,TP. Hà Nội,Ha Noi,1585,H. Thường Tín,Thuong Tin
10,TP. Hà Nội,Ha Noi,1240,Q. Tây Hồ,Tay Ho
16,Tỉnh Hưng Yên,Hung Yen,1632,TX. Mỹ Hào,My Hao
16,Tỉnh Hưng Yên,Hung Yen,1638,H. Văn Giang,Van Giang
16,Tỉnh Hưng Yên,Hung Yen,1622,H. Kim Động,Kim Dong
16,Tỉnh Hưng Yên,Hung Yen,1610,TP. Hưng Yên,Hung Yen
16,Tỉnh Hưng Yên,Hung Yen,1616,H. Phù Cừ,Phu Cu
16,Tỉnh Hưng Yên,Hung Yen,1618,H. Ân Thi,An Thi
16,Tỉnh Hưng Yên,Hung Yen,1635,H. Văn Lâm,Van Lam
16,Tỉnh Hưng Yên,Hung Yen,1629,H. Yên Mỹ,Yen My
16,Tỉnh Hưng Yên,Hung Yen,1625,H. Khoái Châu,Khoai Chau
16,Tỉnh Hưng Yên,Hung Yen,1613,H. Tiên Lữ,Tien Lu
17,Tỉnh Hải Dương,Hai Duong,1727,H. Thanh Hà,Thanh Ha
17,Tỉnh Hải Dương,Hai Duong,1710,TP. Hải Dương,Hai Duong
17,Tỉnh Hải Dương,Hai Duong,1765,H. Tứ Kỳ,Tu Ky
17,Tỉnh Hải Dương,Hai Duong,1761,H. Ninh Giang,Ninh Giang
17,Tỉnh Hải Dương,Hai Duong,1758,H. Thanh Miện,Thanh Mien
17,Tỉnh Hải Dương,Hai Duong,1731,H. Kim Thành,Kim Thanh
17,Tỉnh Hải Dương,Hai Duong,1754,H. Gia Lộc,Gia Loc
17,Tỉnh Hải Dương,Hai Duong,1747,H. Cẩm Giàng,Cam Giang
17,Tỉnh Hải Dương,Hai Duong,1734,H. Nam Sách,Nam Sach
17,Tỉnh Hải Dương,Hai Duong,1742,TP. Chí Linh,Chi Linh
17,Tỉnh Hải Dương,Hai Duong,1738,TX. Kinh Môn,Kinh Mon
17,Tỉnh Hải Dương,Hai Duong,1751,H. Bình Giang,Binh Giang
18,TP. Hải Phòng,Hai Phong,1872,H. Bạch Long Vỹ,Bach Long Vy
18,TP. Hải Phòng,Hai Phong,1867,H. Kiến Thụy,Kien Thuy
18,TP. Hải Phòng,Hai Phong,1862,H. Vĩnh Bảo,Vinh Bao
18,TP. Hải Phòng,Hai Phong,1856,H. Tiên Lãng,Tien Lang
18,TP. Hải Phòng,Hai Phong,1871,Q. Đồ Sơn,Do Son
18,TP. Hải Phòng,Hai Phong,1883,Q. Dương Kinh,Duong Kinh
18,TP. Hải Phòng,Hai Phong,1875,Q. Hải An,Hai An
18,TP. Hải Phòng,Hai Phong,1836,Q. Lê Chân,Le Chan
18,TP. Hải Phòng,Hai Phong,1851,Q. Kiến An,Kien An
18,TP. Hải Phòng,Hai Phong,1853,H. An Lão,An Lao
18,TP. Hải Phòng,Hai Phong,1848,H. An Dương,An Duong
18,TP. Hải Phòng,Hai Phong,1830,H. Thủy Nguyên,Thuy Nguyen
18,TP. Hải Phòng,Hai Phong,1873,H. Cát Hải,Cat Hai
18,TP. Hải Phòng,Hai Phong,1810,Q. Hồng Bàng,Hong Bang
18,TP. Hải Phòng,Hai Phong,1818,Q. Ngô Quyền,Ngo Quyen
20,Tỉnh Quảng Ninh,Quang Ninh,2086,TX. Đông Triều,Dong Trieu
20,Tỉnh Quảng Ninh,Quang Ninh,2079,TP. Uông Bí,Uong Bi
20,Tỉnh Quảng Ninh,Quang Ninh,2075,TX. Quảng Yên,Quang Yen
20,Tỉnh Quảng Ninh,Quang Ninh,2059,H. Ba Chẽ,Ba Che
20,Tỉnh Quảng Ninh,Quang Ninh,2056,H. Tiên Yên,Tien Yen
20,Tỉnh Quảng Ninh,Quang Ninh,2063,H. Đầm Hà,Dam Ha
20,Tỉnh Quảng Ninh,Quang Ninh,2053,H. Vân Đồn,Van Don
20,Tỉnh Quảng Ninh,Quang Ninh,2065,H. Hải Hà,Hai Ha
20,Tỉnh Quảng Ninh,Quang Ninh,2068,TP. Móng Cái,Mong Cai
20,Tỉnh Quảng Ninh,Quang Ninh,2055,H. Cô Tô,Co To
20,Tỉnh Quảng Ninh,Quang Ninh,2010,TP. Hạ Long,Ha Long
20,Tỉnh Quảng Ninh,Quang Ninh,2032,TP. Cẩm Phả,Cam Pha
20,Tỉnh Quảng Ninh,Quang Ninh,2061,H. Bình Liêu,Binh Lieu
22,Tỉnh Bắc Ninh,Bac Ninh,2224,H. Thuận Thành,Thuan Thanh
22,Tỉnh Bắc Ninh,Bac Ninh,2228,H. Quế Võ,Que Vo
22,Tỉnh Bắc Ninh,Bac Ninh,2221,TP. Từ Sơn,Tu Son
22,Tỉnh Bắc Ninh,Bac Ninh,2232,H. Gia Bình,Gia Binh
22,Tỉnh Bắc Ninh,Bac Ninh,2235,H. Lương Tài,Luong Tai
22,Tỉnh Bắc Ninh,Bac Ninh,2218,H. Tiên Du,Tien Du
22,Tỉnh Bắc Ninh,Bac Ninh,2214,H. Yên Phong,Yen Phong
22,Tỉnh Bắc Ninh,Bac Ninh,2210,TP. Bắc Ninh,Bac Ninh
23,Tỉnh Bắc Giang,Bac Giang,2361,H. Việt Yên,Viet Yen
23,Tỉnh Bắc Giang,Bac Giang,2310,TP. Bắc Giang,Bac Giang
23,Tỉnh Bắc Giang,Bac Giang,2372,H. Yên Dũng,Yen Dung
23,Tỉnh Bắc Giang,Bac Giang,2318,H. Lục Nam,Luc Nam
23,Tỉnh Bắc Giang,Bac Giang,2366,H. Hiệp Hòa,Hiep Hoa
23,Tỉnh Bắc Giang,Bac Giang,2330,H. Lục Ngạn,Luc Ngan
23,Tỉnh Bắc Giang,Bac Giang,2340,H. Lạng Giang,Lang Giang
23,Tỉnh Bắc Giang,Bac Giang,2347,H. Yên Thế,Yen The
23,Tỉnh Bắc Giang,Bac Giang,2353,H. Tân Yên,Tan Yen
23,Tỉnh Bắc Giang,Bac Giang,2325,H. Sơn Động,Son Dong
24,Tỉnh Lạng Sơn,Lang Son,2468,H. Lộc Bình,Loc Binh
24,Tỉnh Lạng Sơn,Lang Son,2475,H. Đình Lập,Dinh Lap
24,Tỉnh Lạng Sơn,Lang Son,2410,TP. Lạng Sơn,Lang Son
24,Tỉnh Lạng Sơn,Lang Son,2418,H. Cao Lộc,Cao Loc
24,Tỉnh Lạng Sơn,Lang Son,2425,H. Văn Lãng ,Van Lang
24,Tỉnh Lạng Sơn,Lang Son,2431,H. Tràng Định ,Trang Dinh
24,Tỉnh Lạng Sơn,Lang Son,2445,H. Bình Gia,Binh Gia
24,Tỉnh Lạng Sơn,Lang Son,2450,H. Bắc Sơn,Bac Son
24,Tỉnh Lạng Sơn,Lang Son,2439,H. Văn Quan,Van Quan
24,Tỉnh Lạng Sơn,Lang Son,2461,H. Hữu Lũng,Huu Lung
24,Tỉnh Lạng Sơn,Lang Son,2456,H. Chi Lăng,Chi Lang
25,Tỉnh Thái Nguyên,Thai Nguyen,2525,H. Đồng Hỷ ,Dong Hy
25,Tỉnh Thái Nguyên,Thai Nguyen,2532,H. Võ Nhai,Vo Nhai
25,Tỉnh Thái Nguyên,Thai Nguyen,2538,H. Phú Lương,Phu Luong
25,Tỉnh Thái Nguyên,Thai Nguyen,2544,H. Định Hóa,Dinh Hoa
25,Tỉnh Thái Nguyên,Thai Nguyen,2575,H. Phú Bình,Phu Binh
25,Tỉnh Thái Nguyên,Thai Nguyen,2568,TP. Phổ Yên,Pho Yen
25,Tỉnh Thái Nguyên,Thai Nguyen,2564,TP. Sông Công,Song Cong
25,Tỉnh Thái Nguyên,Thai Nguyen,2510,TP. Thái Nguyên,Thai Nguyen
25,Tỉnh Thái Nguyên,Thai Nguyen,2553,H. Đại Từ,Dai Tu
26,Tỉnh Bắc Kạn,Bac Kan,2610,TP. Bắc Kạn,Bac Kan
26,Tỉnh Bắc Kạn,Bac Kan,2623,H. Ngân Sơn,Ngan Son
26,Tỉnh Bắc Kạn,Bac Kan,2643,H. Pác Năm,Pac Nam
26,Tỉnh Bắc Kạn,Bac Kan,2627,H. Ba Bể,Ba Be
26,Tỉnh Bắc Kạn,Bac Kan,2638,H. Chợ Mới,Cho Moi
26,Tỉnh Bắc Kạn,Bac Kan,2613,H. Na Rì,Na Ri
26,Tỉnh Bắc Kạn,Bac Kan,2632,H. Chợ Đồn,Cho Don
26,Tỉnh Bắc Kạn,Bac Kan,2619,H. Bạch Thông,Bach Thong
27,Tỉnh Cao Bằng,Cao Bang,2722,H. Hạ Lang,Ha Lang
27,Tỉnh Cao Bằng,Cao Bang,2727,H. Trùng Khánh,Trung Khanh
27,Tỉnh Cao Bằng,Cao Bang,2771,H. Thạch An,Thach An
27,Tỉnh Cao Bằng,Cao Bang,2767,H. Bảo Lâm,Bao Lam
27,Tỉnh Cao Bằng,Cao Bang,2738,H. Hòa An,Hoa An
27,Tỉnh Cao Bằng,Cao Bang,2715,H. Quảng Hòa,Quang Hoa
27,Tỉnh Cao Bằng,Cao Bang,2756,H. Nguyên Bình,Nguyen Binh
27,Tỉnh Cao Bằng,Cao Bang,2762,H. Bảo Lạc,Bao Lac
27,Tỉnh Cao Bằng,Cao Bang,2746,H. Hà Quảng,Ha Quang
27,Tỉnh Cao Bằng,Cao Bang,2710,TP. Cao Bằng,Cao Bang
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2823,H. Vĩnh Tường,Vinh Tuong
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2812,H. Bình Xuyên,Binh Xuyen
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2828,H. Yên Lạc,Yen Lac
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2831,H. Sông Lô,Song Lo
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2810,TP. Vĩnh Yên,Vinh Yen
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2818,H. Lập Thạch,Lap Thach
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2815,H. Tam Dương,Tam Duong
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2834,TP. Phúc Yên,Phuc Yen
28,Tỉnh Vĩnh Phúc,Vinh Phuc,2836,H. Tam Đảo,Tam Dao
29,Tỉnh Phú Thọ,Phu Tho,2935,TX. Phú Thọ,Phu Tho
29,Tỉnh Phú Thọ,Phu Tho,2940,H. Tam Nông,Tam Nong
29,Tỉnh Phú Thọ,Phu Tho,2910,TP. Việt Trì,Viet Tri
29,Tỉnh Phú Thọ,Phu Tho,2982,H. Thanh Sơn,Thanh Son
29,Tỉnh Phú Thọ,Phu Tho,2970,H. Cẩm Khê,Cam Khe
29,Tỉnh Phú Thọ,Phu Tho,2923,H. Phù Ninh,Phu Ninh
29,Tỉnh Phú Thọ,Phu Tho,2929,H. Lâm Thao,Lam Thao
29,Tỉnh Phú Thọ,Phu Tho,2962,H. Hạ Hòa,Ha Hoa
29,Tỉnh Phú Thọ,Phu Tho,2976,H. Yên Lập,Yen Lap
29,Tỉnh Phú Thọ,Phu Tho,2949,H. Đoan Hùng,Doan Hung
29,Tỉnh Phú Thọ,Phu Tho,2994,H. Tân Sơn,Tan Son
29,Tỉnh Phú Thọ,Phu Tho,2945,H. Thanh Thủy,Thanh Thuy
29,Tỉnh Phú Thọ,Phu Tho,2956,H. Thanh Ba,Thanh Ba
30,Tỉnh Tuyên Quang,Tuyen Quang,3048,H. Na Hang,Na Hang
30,Tỉnh Tuyên Quang,Tuyen Quang,3063,H. Lâm Bình,Lam Binh
30,Tỉnh Tuyên Quang,Tuyen Quang,3010,TP. Tuyên Quang,Tuyen Quang
30,Tỉnh Tuyên Quang,Tuyen Quang,3055,H. Hàm Yên,Ham Yen
30,Tỉnh Tuyên Quang,Tuyen Quang,3028,H. Sơn Dương,Son Duong
30,Tỉnh Tuyên Quang,Tuyen Quang,3038,H. Chiêm Hóa,Chiem Hoa
30,Tỉnh Tuyên Quang,Tuyen Quang,3015,H. Yên Sơn,Yen Son
31,Tỉnh Hà Giang,Ha Giang,3126,H. Đồng Văn,Dong Van
31,Tỉnh Hà Giang,Ha Giang,3144,H. Xín Mần,Xin Man
31,Tỉnh Hà Giang,Ha Giang,3148,H. Bắc Quang,Bac Quang
31,Tỉnh Hà Giang,Ha Giang,3110,TP. Hà Giang,Ha Giang
31,Tỉnh Hà Giang,Ha Giang,3131,H. Quản Bạ,Quan Ba
31,Tỉnh Hà Giang,Ha Giang,3134,H. Vị Xuyên,Vi Xuyen
31,Tỉnh Hà Giang,Ha Giang,3152,H. Quang Bình,Quang Binh
31,Tỉnh Hà Giang,Ha Giang,3139,H. Hoàng Su Phì,Hoang Su Phi
31,Tỉnh Hà Giang,Ha Giang,3121,H. Mèo Vạc,Meo Vac
31,Tỉnh Hà Giang,Ha Giang,3115,H. Yên Minh,Yen Minh
31,Tỉnh Hà Giang,Ha Giang,3112,H. Bắc Mê,Bac Me
32,Tỉnh Yên Bái,Yen Bai,3240,H. Văn Yên,Van Yen
32,Tỉnh Yên Bái,Yen Bai,3259,H. Trạm Tấu,Tram Tau
32,Tỉnh Yên Bái,Yen Bai,3247,H. Văn Chấn,Van Chan
32,Tỉnh Yên Bái,Yen Bai,3219,H. Yên Bình,Yen Binh
32,Tỉnh Yên Bái,Yen Bai,3226,H. Lục Yên,Luc Yen
32,Tỉnh Yên Bái,Yen Bai,3261,H. Mù Căng Chải,Mu Cang Chai
32,Tỉnh Yên Bái,Yen Bai,3256,TX. Nghĩa Lộ,Nghia Lo
32,Tỉnh Yên Bái,Yen Bai,3233,H. Trấn Yên,Tran Yen
32,Tỉnh Yên Bái,Yen Bai,3210,TP. Yên Bái,Yen Bai
33,Tỉnh Lào Cai,Lao Cai,3310,H. Bắc Hà,Bac Ha
33,Tỉnh Lào Cai,Lao Cai,3334,TP. Lào Cai,Lao Cai
33,Tỉnh Lào Cai,Lao Cai,3331,TX. Sa Pa,Sa Pa
33,Tỉnh Lào Cai,Lao Cai,3353,H. Bảo Yên,Bao Yen
33,Tỉnh Lào Cai,Lao Cai,3325,TP. Lào Cai,Lao Cai
33,Tỉnh Lào Cai,Lao Cai,3341,H. Bảo Thắng,Bao Thang
33,Tỉnh Lào Cai,Lao Cai,3319,H. Mường Khương,Muong Khuong
33,Tỉnh Lào Cai,Lao Cai,3347,H. Văn Bàn,Van Ban
33,Tỉnh Lào Cai,Lao Cai,3316,H. Si Ma Cai,Si Ma Cai
35,Tỉnh Hòa Bình,Hoa Binh,3539,H. Lạc Sơn,Lac Son
35,Tỉnh Hòa Bình,Hoa Binh,3548,H. Yên Thủy,Yen Thuy
35,Tỉnh Hòa Bình,Hoa Binh,3551,H. Kim Bôi,Kim Boi
35,Tỉnh Hòa Bình,Hoa Binh,3558,H. Lạc Thủy,Lac Thuy
35,Tỉnh Hòa Bình,Hoa Binh,3527,H. Tân Lạc,Tan Lac
35,Tỉnh Hòa Bình,Hoa Binh,3533,H. Mai Châu,Mai Chau
35,Tỉnh Hòa Bình,Hoa Binh,3517,H. Lương Sơn,Luong Son
35,Tỉnh Hòa Bình,Hoa Binh,3537,H. Cao Phong,Cao Phong
35,Tỉnh Hòa Bình,Hoa Binh,3522,H. Đà Bắc,Da Bac
35,Tỉnh Hòa Bình,Hoa Binh,3510,TP. Hòa Bình,Hoa Binh
36,Tỉnh Sơn La,Son La,3636,H. Phù Yên,Phu Yen
36,Tỉnh Sơn La,Son La,3615,H. Mai Sơn,Mai Son
36,Tỉnh Sơn La,Son La,3610,TP. Sơn La,Son La
36,Tỉnh Sơn La,Son La,3657,H. Thuận Châu,Thuan Chau
36,Tỉnh Sơn La,Son La,3677,H. Sốp Cộp,Sop Cop
36,Tỉnh Sơn La,Son La,3643,H. Bắc Yên,Bac Yen
36,Tỉnh Sơn La,Son La,3684,H. Vân Hồ,Van Ho
36,Tỉnh Sơn La,Son La,3668,H. Sông Mã,Song Ma
36,Tỉnh Sơn La,Son La,3647,H. Mường La,Muong La
36,Tỉnh Sơn La,Son La,3653,H. Quỳnh Nhai,Quynh Nhai
36,Tỉnh Sơn La,Son La,3628,H. Mộc Châu,Moc Chau
36,Tỉnh Sơn La,Son La,3624,H. Yên Châu,Yen Chau
38,Tỉnh Điện Biên,Dien Bien,3840,H. Mường Nhé,Muong Nhe
38,Tỉnh Điện Biên,Dien Bien,3853,H. Nậm Pồ,Nam Po
38,Tỉnh Điện Biên,Dien Bien,3833,H. Mường Chà,Muong Cha
38,Tỉnh Điện Biên,Dien Bien,3825,H. Tuần Giáo,Tuan Giao
38,Tỉnh Điện Biên,Dien Bien,3820,H. Điện Biên Đông,Dien Bien Dong
38,Tỉnh Điện Biên,Dien Bien,3814,H. Điện Biên,Dien Bien
38,Tỉnh Điện Biên,Dien Bien,3839,TX. Mường Lay,Muong Lay
38,Tỉnh Điện Biên,Dien Bien,3836,H. Tủa Chùa,Tua Chua
38,Tỉnh Điện Biên,Dien Bien,3848,H. Mường Ảng,Muong Ang
38,Tỉnh Điện Biên,Dien Bien,3810,TP. Điện Biên Phủ,Dien Bien Phu
39,Tỉnh Lai Châu,Lai Chau,3929,H. Than Uyên,Than Uyen
39,Tỉnh Lai Châu,Lai Chau,3915,H. Phong Thổ,Phong Tho
39,Tỉnh Lai Châu,Lai Chau,3911,Huyện Tam Đường,Tam Duong
39,Tỉnh Lai Châu,Lai Chau,3910,TP. Lai Châu,Lai Chau
39,Tỉnh Lai Châu,Lai Chau,3923,H. Sìn Hồ,Sin Ho
39,Tỉnh Lai Châu,Lai Chau,3919,H. Mường Tè,Muong Te
39,Tỉnh Lai Châu,Lai Chau,3940,H. Nậm Nhùn,Nam Nhun
39,Tỉnh Lai Châu,Lai Chau,3936,H. Tân Uyên,Tan Uyen
40,Tỉnh Hà Nam,Ha Nam,4010,TP. Phủ Lý,Phu Ly
40,Tỉnh Hà Nam,Ha Nam,4027,H. Kim Bảng,Kim Bang
40,Tỉnh Hà Nam,Ha Nam,4033,H. Thanh Liêm,Thanh Liem
40,Tỉnh Hà Nam,Ha Nam,4015,H. Lý Nhân,Ly Nhan
