province_code,province_description,province_eng_name,district_code,district_description,district_eng_name
66,Tỉnh Ninh Thuận,Ninh Thuan,6629,H. Bác Ái,Bac Ai
66,Tỉnh Ninh Thuận,Ninh Thuan,6636,H. Thuận Bắc,Thuan Bac
66,Tỉnh Ninh Thuận,Ninh Thuan,6626,H. Ninh Hải,Ninh Hai
66,Tỉnh Ninh Thuận,Ninh Thuan,6638,H. Thuận Nam,Thuan Nam
66,Tỉnh Ninh Thuận,Ninh Thuan,6610,TP. Phan Rang Tháp Chàm,Phan Rang Thap Cham
67,Tỉnh Lâm Đồng,Lam Dong,6760,H. Đam Rông,Dam Rong
67,Tỉnh Lâm Đồng,Lam Dong,6743,H. Bảo Lâm,Bao Lam
67,Tỉnh Lâm Đồng,Lam Dong,6747,TP. Bảo Lộc,Bao Loc
67,Tỉnh Lâm Đồng,Lam Dong,6752,H. Đạ Tẻh,Da Teh
67,Tỉnh Lâm Đồng,Lam Dong,6737,H. Di Linh,Di Linh
67,Tỉnh Lâm Đồng,Lam Dong,6725,H. Đơn Dương,Don Duong
67,Tỉnh Lâm Đồng,Lam Dong,6758,H. Đạ Huoai,Da Huoai
67,Tỉnh Lâm Đồng,Lam Dong,6755,H. Cát Tiên,Cat Tien
67,Tỉnh Lâm Đồng,Lam Dong,6728,H. Lâm Hà,Lam Ha
67,Tỉnh Lâm Đồng,Lam Dong,6727,H. Lạc Dương,Lac Duong
67,Tỉnh Lâm Đồng,Lam Dong,6710,TP. Đà Lạt,Da Lat
67,Tỉnh Lâm Đồng,Lam Dong,6733,H. Đức Trọng,Duc Trong
70,TP. Hồ Chí Minh,Ho Chi Minh,7100,Quận 1,Quan 1
70,TP. Hồ Chí Minh,Ho Chi Minh,7200,TP. Thủ Đức,Thu Duc
70,TP. Hồ Chí Minh,Ho Chi Minh,7590,H. Cần Giờ,Can Gio
70,TP. Hồ Chí Minh,Ho Chi Minh,7580,H. Nhà Bè,Nha Be
70,TP. Hồ Chí Minh,Ho Chi Minh,7460,Quận 6,Quan 6
70,TP. Hồ Chí Minh,Ho Chi Minh,7510,Quận 8,Quan 8
70,TP. Hồ Chí Minh,Ho Chi Minh,7560,Quận 7,Quan 7
70,TP. Hồ Chí Minh,Ho Chi Minh,7540,Quận 4,Quan 4
70,TP. Hồ Chí Minh,Ho Chi Minh,7480,Quận 5,Quan 5
70,TP. Hồ Chí Minh,Ho Chi Minh,7270,Q. Gò Vấp,Go Vap
70,TP. Hồ Chí Minh,Ho Chi Minh,7290,Quận 12,Quan 12
70,TP. Hồ Chí Minh,Ho Chi Minh,7330,H. Củ Chi,Cu Chi
70,TP. Hồ Chí Minh,Ho Chi Minh,7310,H. Hóc Môn,Hoc Mon
70,TP. Hồ Chí Minh,Ho Chi Minh,7380,H. Bình Chánh,Binh Chanh
70,TP. Hồ Chí Minh,Ho Chi Minh,7620,Q. Bình Tân,Binh Tan
70,TP. Hồ Chí Minh,Ho Chi Minh,7600,Q. Tân Phú,Tan Phu
70,TP. Hồ Chí Minh,Ho Chi Minh,7360,Q. Tân Bình,Tan Binh
70,TP. Hồ Chí Minh,Ho Chi Minh,7250,Q. Phú Nhuận,Phu Nhuan
70,TP. Hồ Chí Minh,Ho Chi Minh,7170,Q. Bình Thạnh,Binh Thanh
70,TP. Hồ Chí Minh,Ho Chi Minh,7220,Quận 3,Quan 3
70,TP. Hồ Chí Minh,Ho Chi Minh,7400,Quận 10,Quan 10
70,TP. Hồ Chí Minh,Ho Chi Minh,7430,Quận 11,Quan 11
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7951,TP. Bà Rịa,Ba Ria
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7948,H. Xuyên Mộc,Xuyen Moc
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7910,TP. Vũng Tàu,Vung Tau
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7943,H. Côn Đảo,Con Dao
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7953,H. Châu Đức,Chau Duc
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7944,H. Long Điền,Long Dien
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7946,H. Đất Đỏ,Dat Do
79,Tỉnh Bà Rịa Vũng Tàu,Ba Ria Vung Tau,7956,TX. Phú Mỹ,Phu My
80,Tỉnh Bình Thuận,Binh Thuan,8010,TP. Phan Thiết,Phan Thiet
80,Tỉnh Bình Thuận,Binh Thuan,8019,H. Bắc Bình,Bac Binh
80,Tỉnh Bình Thuận,Binh Thuan,8034,H. Tánh Linh,Tanh Linh
80,Tỉnh Bình Thuận,Binh Thuan,8046,TX. La Gi,La Gi
80,Tỉnh Bình Thuận,Binh Thuan,8031,H. Hàm Thuận Nam,Ham Thuan Nam
80,Tỉnh Bình Thuận,Binh Thuan,8023,H. Tuy Phong,Tuy Phong
80,Tỉnh Bình Thuận,Binh Thuan,8028,H. Hàm Thuận Bắc,Ham Thuan Bac
80,Tỉnh Bình Thuận,Binh Thuan,8037,H. Đức Linh,Duc Linh
80,Tỉnh Bình Thuận,Binh Thuan,8040,H. Hàm Tân,Ham Tan
80,Tỉnh Bình Thuận,Binh Thuan,8044,H. Phú Quý,Phu Quy
81,Tỉnh Đồng Nai,Dong Nai,8110,TP. Biên Hòa,Bien Hoa
81,Tỉnh Đồng Nai,Dong Nai,8164,H. Trảng Bom,Trang Bom
81,Tỉnh Đồng Nai,Dong Nai,8132,TP. Long Khánh,Long Khanh
81,Tỉnh Đồng Nai,Dong Nai,8142,H. Định Quán,Dinh Quan
81,Tỉnh Đồng Nai,Dong Nai,8153,H. Long Thành,Long Thanh
81,Tỉnh Đồng Nai,Dong Nai,8150,H. Vĩnh Cửu,Vinh Cuu
81,Tỉnh Đồng Nai,Dong Nai,8137,H. Thống Nhất,Thong Nhat
81,Tỉnh Đồng Nai,Dong Nai,8161,H. Cẩm Mỹ,Cam My
81,Tỉnh Đồng Nai,Dong Nai,8139,H. Xuân Lộc,Xuan Loc
81,Tỉnh Đồng Nai,Dong Nai,8146,H. Tân Phú,Tan Phu
81,Tỉnh Đồng Nai,Dong Nai,8158,H. Nhơn Trạch,Nhon Trach
82,Tỉnh Bình Dương,Binh Duong,8236,H. Dầu Tiếng,Dau Tieng
82,Tỉnh Bình Dương,Binh Duong,8210,TP. Thủ Dầu Một,Thu Dau Mot
82,Tỉnh Bình Dương,Binh Duong,8239,TP. Thuận An,Thuan An
82,Tỉnh Bình Dương,Binh Duong,8246,TP. Dĩ An,Di An
82,Tỉnh Bình Dương,Binh Duong,8255,TX. Bến Cát,Ben Cat
82,Tỉnh Bình Dương,Binh Duong,8260,H. Bắc Tân Uyên,Bac Tan Uyen
82,Tỉnh Bình Dương,Binh Duong,8228,H. Phú Giáo,Phu Giao
82,Tỉnh Bình Dương,Binh Duong,8231,H. Bàu Bàng,Bau Bang
82,Tỉnh Bình Dương,Binh Duong,8223,TX. Tân Uyên,Tan Uyen
83,Tỉnh Bình Phước,Binh Phuoc,8310,TP. Đồng Xoài,Dong Xoai
83,Tỉnh Bình Phước,Binh Phuoc,8315,H. Đồng Phú,Dong Phu
83,Tỉnh Bình Phước,Binh Phuoc,8317,H. Bù Đăng,Bu Dang
83,Tỉnh Bình Phước,Binh Phuoc,8342,TX. Phước Long,Phuoc Long
83,Tỉnh Bình Phước,Binh Phuoc,8320,H. Bù Gia Mập,Bu Gia Map
83,Tỉnh Bình Phước,Binh Phuoc,8333,TX. Chơn Thành,Chon Thanh
83,Tỉnh Bình Phước,Binh Phuoc,8336,H. Bù Đốp,Bu Dop
83,Tỉnh Bình Phước,Binh Phuoc,8345,H. Phú Riềng,Phu Rieng
83,Tỉnh Bình Phước,Binh Phuoc,8329,H. Hớn Quản,Hon Quan
83,Tỉnh Bình Phước,Binh Phuoc,8339,TX. Bình Long,Binh Long
83,Tỉnh Bình Phước,Binh Phuoc,8325,H. Lộc Ninh,Loc Ninh
84,Tỉnh Tây Ninh,Tay Ninh,8417,H. Dương Minh Châu,Duong Minh Chau
84,Tỉnh Tây Ninh,Tay Ninh,8424,H. Châu Thành,Chau Thanh
84,Tỉnh Tây Ninh,Tay Ninh,8431,H. Gò Dầu,Go Dau
84,Tỉnh Tây Ninh,Tay Ninh,8433,TX. Tràng Bảng,Trang Bang
84,Tỉnh Tây Ninh,Tay Ninh,8429,H. Bến Cầu,Ben Cau
84,Tỉnh Tây Ninh,Tay Ninh,8419,H. Tân Châu,Tan Chau
84,Tỉnh Tây Ninh,Tay Ninh,8422,H. Tân Biên,Tan Bien
84,Tỉnh Tây Ninh,Tay Ninh,8427,TX. Hòa Thành,Hoa Thanh
84,Tỉnh Tây Ninh,Tay Ninh,8410,TP. Tây Ninh,Tay Ninh
85,Tỉnh Long An,Long An,8510,TP. Tân An,Tan An
85,Tỉnh Long An,Long An,8546,H. Tân Thạnh,Tan Thanh
85,Tỉnh Long An,Long An,8531,H. Cần Giuộc,Can Giuoc
85,Tỉnh Long An,Long An,8542,H. Đức Huệ,Duc Hue
85,Tỉnh Long An,Long An,8556,TX. Kiến Tường,Kien Tuong
85,Tỉnh Long An,Long An,8553,H. Tân Hưng,Tan Hung
85,Tỉnh Long An,Long An,8534,H. Thủ Thừa,Thu Thua
85,Tỉnh Long An,Long An,8518,H. Châu Thành,Chau Thanh
85,Tỉnh Long An,Long An,8527,H. Cần Đước,Can Duoc
85,Tỉnh Long An,Long An,8523,H. Bến Lức,Ben Luc
85,Tỉnh Long An,Long An,8537,H. Đức Hòa,Duc Hoa
85,Tỉnh Long An,Long An,8544,H. Thạnh Hóa,Thanh Hoa
85,Tỉnh Long An,Long An,8548,H. Mộc Hóa,Moc Hoa
85,Tỉnh Long An,Long An,8551,H. Vĩnh Hưng,Vinh Hung
85,Tỉnh Long An,Long An,8521,H. Tân Trụ,Tan Tru
86,Tỉnh Tiền Giang,Tien Giang,8651,H. Tân Phú Đông,Tan Phu Dong
86,Tỉnh Tiền Giang,Tien Giang,8624,H. Gò Công Tây,Go Cong Tay
86,Tỉnh Tiền Giang,Tien Giang,8639,H. Tân Phước,Tan Phuoc
86,Tỉnh Tiền Giang,Tien Giang,8653,TX. Cai Lậy,Cai Lay
86,Tỉnh Tiền Giang,Tien Giang,8610,TP. Mỹ Tho,My Tho
86,Tỉnh Tiền Giang,Tien Giang,8647,H. Cái Bè,Cai Be
86,Tỉnh Tiền Giang,Tien Giang,8630,H. Gò Công Đông,Go Cong Dong
86,Tỉnh Tiền Giang,Tien Giang,8620,H. Chợ Gạo,Cho Gao
86,Tỉnh Tiền Giang,Tien Giang,8634,H. Châu Thành,Chau Thanh
86,Tỉnh Tiền Giang,Tien Giang,8641,H. Cai Lậy,Cai Lay
86,Tỉnh Tiền Giang,Tien Giang,8627,TX. Gò Công,Go Cong
87,Tỉnh Đồng Tháp,Dong Thap,8714,H. Tháp Mười,Thap Muoi
87,Tỉnh Đồng Tháp,Dong Thap,8719,H. Tân Hồng,Tan Hong
87,Tỉnh Đồng Tháp,Dong Thap,8724,H. Thanh Bình,Thanh Binh
87,Tỉnh Đồng Tháp,Dong Thap,8731,TP. Sa Đéc,Sa Dec
87,Tỉnh Đồng Tháp,Dong Thap,8710,TP. Cao Lãnh,Cao Lanh
87,Tỉnh Đồng Tháp,Dong Thap,8738,H. Châu Thành,Chau Thanh
87,Tỉnh Đồng Tháp,Dong Thap,8717,H. Tam Nông,Tam Nong
87,Tỉnh Đồng Tháp,Dong Thap,8721,TX. Hồng Ngự,Hong Ngu
87,Tỉnh Đồng Tháp,Dong Thap,8744,H. Hồng Ngự,Hong Ngu
87,Tỉnh Đồng Tháp,Dong Thap,8726,H. Lấp Vò,Lap Vo
87,Tỉnh Đồng Tháp,Dong Thap,8728,H. Lai Vung,Lai Vung
87,Tỉnh Đồng Tháp,Dong Thap,8740,H. Cao Lãnh,Cao Lanh
88,Tỉnh An Giang,An Giang,8810,TP.Long Xuyên,Tp.long Xuyen
88,Tỉnh An Giang,An Giang,8825,H. Phú Tân,Phu Tan
88,Tỉnh An Giang,An Giang,8834,TX. Tân Châu,Tan Chau
88,Tỉnh An Giang,An Giang,8830,TP. Châu Đốc,Chau Doc
88,Tỉnh An Giang,An Giang,8840,H. Tịnh Biên,Tinh Bien
88,Tỉnh An Giang,An Giang,8822,H. Châu Thành,Chau Thanh
88,Tỉnh An Giang,An Giang,8816,H. Chợ Mới,Cho Moi
88,Tỉnh An Giang,An Giang,8837,H. An Phú,An Phu
88,Tỉnh An Giang,An Giang,8828,H. Châu Phú,Chau Phu
88,Tỉnh An Giang,An Giang,8843,H. Tri Tôn,Tri Ton
88,Tỉnh An Giang,An Giang,8846,H. Thoại Sơn,Thoai Son
89,Tỉnh Vĩnh Long,Vinh Long,8913,H. Long Hồ,Long Ho
89,Tỉnh Vĩnh Long,Vinh Long,8938,H. Bình Tân,Binh Tan
89,Tỉnh Vĩnh Long,Vinh Long,8929,H. Vũng Liêm,Vung Liem
89,Tỉnh Vĩnh Long,Vinh Long,8934,H. Mang Thít,Mang Thit
89,Tỉnh Vĩnh Long,Vinh Long,8917,H. Tam Bình,Tam Binh
89,Tỉnh Vĩnh Long,Vinh Long,8921,TX. Bình Minh,Binh Minh
89,Tỉnh Vĩnh Long,Vinh Long,8925,H. Trà Ôn,Tra On
89,Tỉnh Vĩnh Long,Vinh Long,8910,TP. Vĩnh Long,Vinh Long
90,TP. Cần Thơ,Can Tho,9010,Q. Ninh Kiều,Ninh Kieu
90,TP. Cần Thơ,Can Tho,9028,Q. Bình Thủy,Binh Thuy
90,TP. Cần Thơ,Can Tho,9040,Q. Ô Môn,O Mon
90,TP. Cần Thơ,Can Tho,9042,Q. Thốt Nốt,Thot Not
90,TP. Cần Thơ,Can Tho,9036,Q. Cái Răng,Cai Rang
90,TP. Cần Thơ,Can Tho,9046,H. Cờ Đỏ,Co Do
90,TP. Cần Thơ,Can Tho,9056,H. Thới Lai,Thoi Lai
90,TP. Cần Thơ,Can Tho,9044,H. Phong Điền,Phong Dien
90,TP. Cần Thơ,Can Tho,9050,H. Vĩnh Thạnh,Vinh Thanh
91,Tỉnh Hậu Giang,Hau Giang,9110,TP. Vị Thanh,Vi Thanh
91,Tỉnh Hậu Giang,Hau Giang,9122,H. Vị Thủy,Vi Thuy
91,Tỉnh Hậu Giang,Hau Giang,9133,H. Long Mỹ,Long My
91,Tỉnh Hậu Giang,Hau Giang,9125,H. Châu Thành A,Chau Thanh A
91,Tỉnh Hậu Giang,Hau Giang,9118,H. Phụng Hiệp,Phung Hiep
91,Tỉnh Hậu Giang,Hau Giang,9129,TP. Ngã Bảy,Nga Bay
91,Tỉnh Hậu Giang,Hau Giang,9127,H. Châu Thành,Chau Thanh
91,Tỉnh Hậu Giang,Hau Giang,9115,TX. Long Mỹ,Long My
92,Tỉnh Kiên Giang,Kien Giang,9216,H. Hòn Đất,Hon Dat
92,Tỉnh Kiên Giang,Kien Giang,9218,H. Kiên Lương,Kien Luong
92,Tỉnh Kiên Giang,Kien Giang,9230,H. Châu Thành,Chau Thanh
92,Tỉnh Kiên Giang,Kien Giang,9224,H. An Biên,An Bien
92,Tỉnh Kiên Giang,Kien Giang,9227,H. An Minh,An Minh
92,Tỉnh Kiên Giang,Kien Giang,9246,H. U Minh Thượng,U Minh Thuong
92,Tỉnh Kiên Giang,Kien Giang,9232,H. Vĩnh Thuận,Vinh Thuan
92,Tỉnh Kiên Giang,Kien Giang,9235,H. Gò Quao,Go Quao
92,Tỉnh Kiên Giang,Kien Giang,9238,H. Giồng Riêng,Giong Rieng
92,Tỉnh Kiên Giang,Kien Giang,9241,H. Kiên Hải,Kien Hai
92,Tỉnh Kiên Giang,Kien Giang,9222,TP. Phú Quốc,Phu Quoc
92,Tỉnh Kiên Giang,Kien Giang,9210,TP. Rạch Giá,Rach Gia
92,Tỉnh Kiên Giang,Kien Giang,9214,H. Tân Hiệp,Tan Hiep
92,Tỉnh Kiên Giang,Kien Giang,9248,H. Giang Thành,Giang Thanh
92,Tỉnh Kiên Giang,Kien Giang,9220,TX. Hà Tiên,Ha Tien
93,Tỉnh Bến Tre,Ben Tre,9310,TP. Bến Tre,Ben Tre
93,Tỉnh Bến Tre,Ben Tre,9317,H. Chợ Lách,Cho Lach
93,Tỉnh Bến Tre,Ben Tre,9320,H. Mỏ Cày Nam,Mo Cay Nam
93,Tỉnh Bến Tre,Ben Tre,9333,H. Ba Tri,Ba Tri
93,Tỉnh Bến Tre,Ben Tre,9330,H. Thạnh Phú,Thanh Phu
93,Tỉnh Bến Tre,Ben Tre,9340,H. Mỏ Cày Bắc,Mo Cay Bac
93,Tỉnh Bến Tre,Ben Tre,9326,H. Giồng Trôm,Giong Trom
93,Tỉnh Bến Tre,Ben Tre,9337,H. Bình Đại,Binh Dai
93,Tỉnh Bến Tre,Ben Tre,9313,H. Châu Thành,Chau Thanh
94,Tỉnh Trà Vinh,Tra Vinh,9410,TP. Trà Vinh,Tra Vinh
94,Tỉnh Trà Vinh,Tra Vinh,9423,H. Tiểu Cần,Tieu Can
94,Tỉnh Trà Vinh,Tra Vinh,9441,TX Duyên Hải,Tx Duyen Hai
94,Tỉnh Trà Vinh,Tra Vinh,9426,H. Châu Thành,Chau Thanh
94,Tỉnh Trà Vinh,Tra Vinh,9435,H. Cầu Ngang,Cau Ngang
94,Tỉnh Trà Vinh,Tra Vinh,9421,H. Cầu Kè,Cau Ke
94,Tỉnh Trà Vinh,Tra Vinh,9430,H. Trà Cú,Tra Cu
94,Tỉnh Trà Vinh,Tra Vinh,9439,H. Duyên Hải,Duyen Hai
94,Tỉnh Trà Vinh,Tra Vinh,9417,H. Càng Long,Cang Long
95,Tỉnh Sóc Trăng,Soc Trang,9510,TP. Sóc Trăng,Soc Trang
95,Tỉnh Sóc Trăng,Soc Trang,9517,H. Long Phú,Long Phu
95,Tỉnh Sóc Trăng,Soc Trang,9520,H. Kế Sách,Ke Sach
95,Tỉnh Sóc Trăng,Soc Trang,9543,H. Châu Thành,Chau Thanh
95,Tỉnh Sóc Trăng,Soc Trang,9523,H. Mỹ Tú,My Tu
95,Tỉnh Sóc Trăng,Soc Trang,9538,H. Cù Lao Dung,Cu Lao Dung
95,Tỉnh Sóc Trăng,Soc Trang,9527,H. Thạnh Trị,Thanh Tri
95,Tỉnh Sóc Trăng,Soc Trang,9545,H. Trần Đề,Tran De
95,Tỉnh Sóc Trăng,Soc Trang,9535,TX. Vĩnh Châu,Vinh Chau
95,Tỉnh Sóc Trăng,Soc Trang,9530,H. Mỹ Xuyên,My Xuyen
95,Tỉnh Sóc Trăng,Soc Trang,9540,TX. Ngã Năm,Nga Nam
96,Tỉnh Bạc Liêu,Bac Lieu,9610,TP. Bạc Liêu,Bac Lieu
96,Tỉnh Bạc Liêu,Bac Lieu,9624,H. Hồng Dân,Hong Dan
96,Tỉnh Bạc Liêu,Bac Lieu,9621,H. Phước Long,Phuoc Long
96,Tỉnh Bạc Liêu,Bac Lieu,9632,H. Hòa Bình,Hoa Binh
96,Tỉnh Bạc Liêu,Bac Lieu,9615,H. Vĩnh Lợi,Vinh Loi
96,Tỉnh Bạc Liêu,Bac Lieu,9626,TX. Giá Rai,Gia Rai
96,Tỉnh Bạc Liêu,Bac Lieu,9629,H. Đông Hải,Dong Hai
97,Tỉnh Cà Mau,Ca Mau,9730,H. Đầm Dơi,Dam Doi
97,Tỉnh Cà Mau,Ca Mau,9734,H. Ngọc Hiển,Ngoc Hien
97,Tỉnh Cà Mau,Ca Mau,9710,TP. Cà Mau,Ca Mau
97,Tỉnh Cà Mau,Ca Mau,9721,H. U Minh,U Minh
97,Tỉnh Cà Mau,Ca Mau,9723,H. Trần Văn Thời,Tran Van Thoi
97,Tỉnh Cà Mau,Ca Mau,9727,H. Cái Nước,Cai Nuoc
97,Tỉnh Cà Mau,Ca Mau,9739,H. Năm Căn,Nam Can
97,Tỉnh Cà Mau,Ca Mau,9718,H. Thới Bình,Thoi Binh
97,Tỉnh Cà Mau,Ca Mau,9736,H. Phú Tân,Phu Tan
